id,nombre,fuente
111,Procedimiento ordinario,SISE-Tribunales Laborales
112,Procedimiento especial individual,SISE-Tribunales Laborales
113,Procedimiento especial colectivo,SISE-Tribunales Laborales
114,Conflictos Individuales de Seguridad Social,SISE-Tribunales Laborales
115,Conflictos Colectivos de Naturaleza Económica,SISE-Tribunales Laborales
116,Procedimiento de Huelga,SISE-Tribunales Laborales
117,Procedimiento de Ejecución,SISE-Tribunales Laborales
120,Procedimientos Paraprocesales o Voluntarios,SISE-Tribunales Laborales
